row_num,transect_dist_id,depth_cm,extract,fraction,replicate,soil_moist_type,p_conc_mgperkg,notes
212,2,50,H2O,Pi,2,dried,0.802402,
213,2,50,H2O,Pi,3,dried,0.753532,
214,2,100,H2O,Pi,1,dried,0.629503,
215,2,100,H2O,Pi,2,dried,0.634295,
216,2,100,H2O,Pi,3,dried,0.583153,
217,3,10,H2O,Pi,1,dried,1.133971,
218,3,10,H2O,Pi,2,dried,1.097783,
219,3,10,H2O,Pi,3,dried,1.114485,
220,3,30,H2O,Pi,1,dried,0.534461,
221,3,30,H2O,Pi,2,dried,0.521599,
222,3,30,H2O,Pi,3,dried,0.517006,
223,3,50,H2O,Pi,1,dried,0.474026,
224,3,50,H2O,Pi,2,dried,0.428099,
225,3,50,H2O,Pi,3,dried,0.474963,
226,3,100,H2O,Pi,1,dried,0.573047,
227,3,100,H2O,Pi,2,dried,0.563003,
228,3,100,H2O,Pi,3,dried,0.541043,
229,4,10,H2O,Pi,1,dried,0.783432,
230,4,10,H2O,Pi,2,dried,0.809463,
231,4,10,H2O,Pi,3,dried,0.773939,
232,4,30,H2O,Pi,1,dried,0.336247,
233,4,30,H2O,Pi,2,dried,0.333435,
234,4,30,H2O,Pi,3,dried,0.329373,
235,4,50,H2O,Pi,1,dried,0.355305,
236,4,50,H2O,Pi,2,dried,0.352805,
237,4,50,H2O,Pi,3,dried,0.379049,
238,4,100,H2O,Pi,1,dried,0.481348,
239,4,100,H2O,Pi,2,dried,0.469904,
240,4,100,H2O,Pi,3,dried,0.455986,
241,5,10,H2O,Pi,1,dried,0.980153,
242,5,10,H2O,Pi,2,dried,0.966406,
243,5,10,H2O,Pi,3,dried,0.923604,
244,5,30,H2O,Pi,1,dried,0.429077,
245,5,30,H2O,Pi,2,dried,0.404333,
246,5,30,H2O,Pi,3,dried,0.398765,
247,5,50,H2O,Pi,1,dried,0.581316,
248,5,50,H2O,Pi,2,dried,0.557429,
249,5,50,H2O,Pi,3,dried,0.568147,
250,5,100,H2O,Pi,1,dried,0.419664,
251,5,100,H2O,Pi,2,dried,0.410604,
252,5,100,H2O,Pi,3,dried,0.352805,
253,6,10,H2O,Pi,1,dried,0.794669,
254,6,10,H2O,Pi,2,dried,0.808278,
255,6,10,H2O,Pi,3,dried,0.740851,
256,6,30,H2O,Pi,1,dried,0.427787,
257,6,30,H2O,Pi,2,dried,0.467152,
258,6,30,H2O,Pi,3,dried,0.423725,
259,6,50,H2O,Pi,1,dried,0.307212,
260,6,50,H2O,Pi,2,dried,0.313708,
261,6,50,H2O,Pi,3,dried,0.276592,
262,6,100,H2O,Pi,1,dried,0.494333,
263,6,100,H2O,Pi,2,dried,0.520577,
264,6,100,H2O,Pi,3,dried,0.454748,
265,1,10,NaHCO3,Pi,1,dried,2.537770,
266,1,10,NaHCO3,Pi,2,dried,2.289994,
267,1,10,NaHCO3,Pi,3,dried,2.415993,
268,1,30,NaHCO3,Pi,1,dried,1.519466,
269,1,30,NaHCO3,Pi,2,dried,1.534650,
270,1,30,NaHCO3,Pi,3,dried,1.489610,
271,1,50,NaHCO3,Pi,1,dried,1.761168,
272,1,50,NaHCO3,Pi,2,dried,1.654592,
273,1,50,NaHCO3,Pi,3,dried,1.692763,
274,1,100,NaHCO3,Pi,1,dried,1.938645,
275,1,100,NaHCO3,Pi,2,dried,1.956047,
276,1,100,NaHCO3,Pi,3,dried,1.805060,
277,2,10,NaHCO3,Pi,1,dried,0.807559,
278,2,10,NaHCO3,Pi,2,dried,0.811105,
279,2,10,NaHCO3,Pi,3,dried,0.819044,
280,2,30,NaHCO3,Pi,1,dried,2.381368,
281,2,30,NaHCO3,Pi,2,dried,2.336157,
282,2,30,NaHCO3,Pi,3,dried,2.436303,
283,2,50,NaHCO3,Pi,1,dried,2.144402,
284,2,50,NaHCO3,Pi,2,dried,2.120249,
285,2,50,NaHCO3,Pi,3,dried,2.050831,
286,2,100,NaHCO3,Pi,1,dried,1.292216,
287,2,100,NaHCO3,Pi,2,dried,1.265961,
288,2,100,NaHCO3,Pi,3,dried,1.188535,
289,3,10,NaHCO3,Pi,1,dried,1.978373,
290,3,10,NaHCO3,Pi,2,dried,2.072113,
291,3,10,NaHCO3,Pi,3,dried,2.021443,
292,3,30,NaHCO3,Pi,1,dried,1.282851,
293,3,30,NaHCO3,Pi,2,dried,1.290376,
294,3,30,NaHCO3,Pi,3,dried,1.327835,
295,3,50,NaHCO3,Pi,1,dried,0.952371,
296,3,50,NaHCO3,Pi,2,dried,0.926269,
297,3,50,NaHCO3,Pi,3,dried,0.926780,
298,3,100,NaHCO3,Pi,1,dried,1.038614,
299,3,100,NaHCO3,Pi,2,dried,1.003989,
300,3,100,NaHCO3,Pi,3,dried,1.026284,
301,4,10,NaHCO3,Pi,1,dried,1.634029,
302,4,10,NaHCO3,Pi,2,dried,1.646070,
303,4,10,NaHCO3,Pi,3,dried,1.683863,
304,4,30,NaHCO3,Pi,1,dried,0.947935,
305,4,30,NaHCO3,Pi,2,dried,0.908696,
306,4,30,NaHCO3,Pi,3,dried,0.955271,
307,4,50,NaHCO3,Pi,1,dried,0.589322,
308,4,50,NaHCO3,Pi,2,dried,0.564925,
309,4,50,NaHCO3,Pi,3,dried,0.579256,
310,4,100,NaHCO3,Pi,1,dried,1.101107,
311,4,100,NaHCO3,Pi,2,dried,1.034054,
312,4,100,NaHCO3,Pi,3,dried,1.089959,
313,5,10,NaHCO3,Pi,1,dried,1.836622,
314,5,10,NaHCO3,Pi,2,dried,1.498311,
315,5,10,NaHCO3,Pi,3,dried,1.937792,
316,5,30,NaHCO3,Pi,1,dried,1.018515,
317,5,30,NaHCO3,Pi,2,dried,0.786446,
318,5,30,NaHCO3,Pi,3,dried,1.013448,
319,5,50,NaHCO3,Pi,1,dried,1.281346,
320,5,50,NaHCO3,Pi,2,dried,1.154420,
321,5,50,NaHCO3,Pi,3,dried,1.270811,
322,5,100,NaHCO3,Pi,1,dried,0.629073,
323,5,100,NaHCO3,Pi,2,dried,0.571237,
324,5,100,NaHCO3,Pi,3,dried,0.580450,
325,6,10,NaHCO3,Pi,1,dried,1.325406,
326,6,10,NaHCO3,Pi,2,dried,1.336722,
327,6,10,NaHCO3,Pi,3,dried,1.405971,
328,6,30,NaHCO3,Pi,1,dried,0.890953,
329,6,30,NaHCO3,Pi,2,dried,0.842501,
330,6,30,NaHCO3,Pi,3,dried,0.851031,
331,6,50,NaHCO3,Pi,1,dried,0.675817,
332,6,50,NaHCO3,Pi,2,dried,0.674296,
333,6,50,NaHCO3,Pi,3,dried,0.690511,
334,6,100,NaHCO3,Pi,1,dried,0.530804,
335,6,100,NaHCO3,Pi,2,dried,0.412915,
336,6,100,NaHCO3,Pi,3,dried,0.438676,
337,1,10,NaOH,Pi,1,dried,111.635672,
338,1,10,NaOH,Pi,2,dried,112.957407,
339,1,10,NaOH,Pi,3,dried,115.333717,
340,1,30,NaOH,Pi,1,dried,67.938545,
341,1,30,NaOH,Pi,2,dried,67.881732,
342,1,30,NaOH,Pi,3,dried,70.963793,
343,1,50,NaOH,Pi,1,dried,75.484843,
344,1,50,NaOH,Pi,2,dried,80.560868,
345,1,50,NaOH,Pi,3,dried,87.267964,
346,1,100,NaOH,Pi,1,dried,239.729538,
347,1,100,NaOH,Pi,2,dried,235.051396,
348,1,100,NaOH,Pi,3,dried,251.299667,
349,2,10,NaOH,Pi,1,dried,38.110705,
350,2,10,NaOH,Pi,2,dried,43.226051,
351,2,10,NaOH,Pi,3,dried,44.972700,
352,2,30,NaOH,Pi,1,dried,110.661263,
353,2,30,NaOH,Pi,2,dried,114.311438,
354,2,30,NaOH,Pi,3,dried,123.131519,
355,2,50,NaOH,Pi,1,dried,84.905718,
356,2,50,NaOH,Pi,2,dried,84.638556,
357,2,50,NaOH,Pi,3,dried,84.638556,
358,2,100,NaOH,Pi,1,dried,46.562146,
359,2,100,NaOH,Pi,2,dried,45.348589,
360,2,100,NaOH,Pi,3,dried,42.341483,
361,3,10,NaOH,Pi,1,dried,91.458141,
362,3,10,NaOH,Pi,2,dried,93.623534,
363,3,10,NaOH,Pi,3,dried,102.060135,
364,3,30,NaOH,Pi,1,dried,45.838925,
365,3,30,NaOH,Pi,2,dried,49.733948,
366,3,30,NaOH,Pi,3,dried,46.629394,
367,3,50,NaOH,Pi,1,dried,40.753946,
368,3,50,NaOH,Pi,2,dried,38.424647,
369,3,50,NaOH,Pi,3,dried,40.555104,
370,3,100,NaOH,Pi,1,dried,23.782549,
371,3,100,NaOH,Pi,2,dried,24.991794,
372,3,100,NaOH,Pi,3,dried,28.057094,
373,4,10,NaOH,Pi,1,dried,76.783970,
374,4,10,NaOH,Pi,2,dried,74.960221,
375,4,10,NaOH,Pi,3,dried,74.361584,
376,4,30,NaOH,Pi,1,dried,36.237382,
377,4,30,NaOH,Pi,2,dried,36.208975,
378,4,30,NaOH,Pi,3,dried,36.152162,
379,4,50,NaOH,Pi,1,dried,29.632973,
380,4,50,NaOH,Pi,2,dried,30.755013,
381,4,50,NaOH,Pi,3,dried,30.868635,
382,4,100,NaOH,Pi,1,dried,37.182680,
383,4,100,NaOH,Pi,2,dried,37.590450,
384,4,100,NaOH,Pi,3,dried,38.448171,
385,5,10,NaOH,Pi,1,dried,81.530848,
386,5,10,NaOH,Pi,2,dried,38.616901,
387,5,10,NaOH,Pi,3,dried,76.204709,
388,5,30,NaOH,Pi,1,dried,38.616901,
389,5,30,NaOH,Pi,2,dried,38.940308,
390,5,30,NaOH,Pi,3,dried,33.484640,
391,5,50,NaOH,Pi,1,dried,50.332588,
392,5,50,NaOH,Pi,2,dried,57.299987,
393,5,50,NaOH,Pi,3,dried,55.246975,
394,5,100,NaOH,Pi,1,dried,15.231100,
395,5,100,NaOH,Pi,2,dried,16.736621,
396,5,100,NaOH,Pi,3,dried,16.140095,
397,6,10,NaOH,Pi,1,dried,64.348535,
398,6,10,NaOH,Pi,2,dried,66.345193,
399,6,10,NaOH,Pi,3,dried,65.121884,
400,6,30,NaOH,Pi,1,dried,29.064851,
401,6,30,NaOH,Pi,2,dried,31.536178,
402,6,30,NaOH,Pi,3,dried,28.723981,
403,6,50,NaOH,Pi,1,dried,22.713911,
404,6,50,NaOH,Pi,2,dried,23.951279,
405,6,50,NaOH,Pi,3,dried,25.090221,
406,6,100,NaOH,Pi,1,dried,15.231100,
407,6,100,NaOH,Pi,2,dried,16.736621,
408,6,100,NaOH,Pi,3,dried,16.140095,
409,1,10,HCl,Pi,1,dried,128.492395,
410,1,10,HCl,Pi,2,dried,109.896558,
411,1,10,HCl,Pi,3,dried,111.986456,
412,1,30,HCl,Pi,1,dried,83.089604,
413,1,30,HCl,Pi,2,dried,89.049260,
414,1,30,HCl,Pi,3,dried,71.155946,
415,1,50,HCl,Pi,1,dried,97.485117,
416,1,50,HCl,Pi,2,dried,99.845140,
417,1,50,HCl,Pi,3,dried,100.214784,
418,1,100,HCl,Pi,1,dried,62.711904,
419,1,100,HCl,Pi,2,dried,64.420817,
420,1,100,HCl,Pi,3,dried,65.813796,
421,2,10,HCl,Pi,1,dried,37.830583,
422,2,10,HCl,Pi,2,dried,40.233257,
423,2,10,HCl,Pi,3,dried,38.669390,
424,2,30,HCl,Pi,1,dried,157.075449,
425,2,30,HCl,Pi,2,dried,161.053330,
426,2,30,HCl,Pi,3,dried,161.053330,
427,2,50,HCl,Pi,1,dried,136.866200,
428,2,50,HCl,Pi,2,dried,134.420877,
429,2,50,HCl,Pi,3,dried,122.478606,
430,2,100,HCl,Pi,1,dried,61.287096,
431,2,100,HCl,Pi,2,dried,69.324627,
432,2,100,HCl,Pi,3,dried,64.749846,
433,3,10,HCl,Pi,1,dried,167.105760,
434,3,10,HCl,Pi,2,dried,173.176426,
435,3,10,HCl,Pi,3,dried,174.797162,
436,3,30,HCl,Pi,1,dried,125.024297,
437,3,30,HCl,Pi,2,dried,125.798492,
438,3,30,HCl,Pi,3,dried,127.389111,
439,3,50,HCl,Pi,1,dried,83.405539,
440,3,50,HCl,Pi,2,dried,85.789401,
441,3,50,HCl,Pi,3,dried,86.148416,
442,3,100,HCl,Pi,1,dried,60.904773,
443,3,100,HCl,Pi,2,dried,68.510867,
444,3,100,HCl,Pi,3,dried,59.852718,
445,4,10,HCl,Pi,1,dried,152.191429,
446,4,10,HCl,Pi,2,dried,145.955662,
447,4,10,HCl,Pi,3,dried,145.223693,
448,4,30,HCl,Pi,1,dried,91.705968,
449,4,30,HCl,Pi,2,dried,85.947368,
450,4,30,HCl,Pi,3,dried,82.486461,
451,4,50,HCl,Pi,1,dried,58.389363,
452,4,50,HCl,Pi,2,dried,66.043570,
453,4,50,HCl,Pi,3,dried,70.093256,
454,4,100,HCl,Pi,1,dried,81.590509,
455,4,100,HCl,Pi,2,dried,81.960153,
456,4,100,HCl,Pi,3,dried,84.576082,
457,5,10,HCl,Pi,1,dried,123.529071,
458,5,10,HCl,Pi,2,dried,123.715764,
459,5,10,HCl,Pi,3,dried,121.489869,
460,5,30,HCl,Pi,1,dried,80.310978,
461,5,30,HCl,Pi,2,dried,63.392754,
462,5,30,HCl,Pi,3,dried,78.420117,
463,5,50,HCl,Pi,1,dried,88.538692,
464,5,50,HCl,Pi,2,dried,89.270652,
465,5,50,HCl,Pi,3,dried,87.820802,
466,5,100,HCl,Pi,1,dried,30.730838,
467,5,100,HCl,Pi,2,dried,28.447500,
468,5,100,HCl,Pi,3,dried,34.249184,
469,6,10,HCl,Pi,1,dried,86.907668,
470,6,10,HCl,Pi,2,dried,88.684791,
471,6,10,HCl,Pi,3,dried,96.589450,
472,6,30,HCl,Pi,1,dried,77.273561,
473,6,30,HCl,Pi,2,dried,76.397564,
474,6,30,HCl,Pi,3,dried,80.131325,
475,6,50,HCl,Pi,1,dried,65.084578,
476,6,50,HCl,Pi,2,dried,65.226746,
477,6,50,HCl,Pi,3,dried,64.046734,
478,6,100,HCl,Pi,1,dried,30.730838,
479,6,100,HCl,Pi,2,dried,28.447500,
480,6,100,HCl,Pi,3,dried,34.249184,
