row_num,transect_dist_id,depth_cm,extract,fraction,soil_moist_type,mean_p_conc_ppm,notes
272,2,100,NaOH,Po,field_fresh,148.10000000,
273,3,10,NaOH,Po,field_fresh,311.50000000,
274,3,30,NaOH,Po,field_fresh,137.90000000,
275,3,50,NaOH,Po,field_fresh,91.50000000,
276,3,100,NaOH,Po,field_fresh,84.50000000,
277,4,10,NaOH,Po,field_fresh,321.50000000,
278,4,30,NaOH,Po,field_fresh,106.20000000,
279,4,50,NaOH,Po,field_fresh,128.30000000,
280,4,100,NaOH,Po,field_fresh,87.80000000,
281,5,10,NaOH,Po,field_fresh,277.70000000,
282,5,30,NaOH,Po,field_fresh,140.20000000,
283,5,50,NaOH,Po,field_fresh,113.60000000,
284,5,100,NaOH,Po,field_fresh,17.20000000,
285,6,10,NaOH,Po,field_fresh,228.20000000,
286,6,30,NaOH,Po,field_fresh,101.10000000,
287,6,50,NaOH,Po,field_fresh,74.30000000,
288,6,100,NaOH,Po,field_fresh,23.70000000,
289,1,10,HCl,Pi,dried,136.41758907,
290,1,30,HCl,Pi,dried,81.09827029,
291,1,50,HCl,Pi,dried,99.18168053,
292,1,100,HCl,Pi,dried,64.31550562,
293,2,10,HCl,Pi,dried,43.65294376,
294,2,30,HCl,Pi,dried,159.72736963,
295,2,50,HCl,Pi,dried,131.25522748,check
296,2,100,HCl,Pi,dried,131.25522748,check
297,3,10,HCl,Pi,dried,151.18665528,
298,3,30,HCl,Pi,dried,126.07063334,
299,3,50,HCl,Pi,dried,85.11445191,
300,3,100,HCl,Pi,dried,63.08945288,
301,4,10,HCl,Pi,dried,147.79026160,
302,4,30,HCl,Pi,dried,86.71326601,
303,4,50,HCl,Pi,dried,64.84206295,
304,4,100,HCl,Pi,dried,82.70891450,
305,5,10,HCl,Pi,dried,122.91156777,
306,5,30,HCl,Pi,dried,74.04128296,
307,5,50,HCl,Pi,dried,88.54338204,
308,5,100,HCl,Pi,dried,31.14250758,
309,6,10,HCl,Pi,dried,90.72730265,
310,6,30,HCl,Pi,dried,77.93415002,
311,6,50,HCl,Pi,dried,64.78601959,
312,6,100,HCl,Pi,dried,31.14250758,
313,1,10,HCl,Pi,field_fresh,136.41758907,
314,1,30,HCl,Pi,field_fresh,89.74560497,
315,1,50,HCl,Pi,field_fresh,91.67632250,
316,1,100,HCl,Pi,field_fresh,50.95910368,
317,2,10,HCl,Pi,field_fresh,43.65294376,
318,2,30,HCl,Pi,field_fresh,136.3949276,
319,2,50,HCl,Pi,field_fresh,118.6348014,
320,2,100,HCl,Pi,field_fresh,118.6348014,
321,3,10,HCl,Pi,field_fresh,151.18665528,
322,3,30,HCl,Pi,field_fresh,119.79362994,
323,3,50,HCl,Pi,field_fresh,78.06835086,
324,3,100,HCl,Pi,field_fresh,80.69568033,
325,4,10,HCl,Pi,field_fresh,112.61869683,
326,4,30,HCl,Pi,field_fresh,83.98919659,
327,4,50,HCl,Pi,field_fresh,78.69626596,
328,4,100,HCl,Pi,field_fresh,59.01686818,
329,5,10,HCl,Pi,field_fresh,108.52644860,
330,5,30,HCl,Pi,field_fresh,82.34273678,
331,5,50,HCl,Pi,field_fresh,72.35590552,
332,5,100,HCl,Pi,field_fresh,65.17931518,
333,6,10,HCl,Pi,field_fresh,93.12760522,
334,6,30,HCl,Pi,field_fresh,73.37100891,
335,6,50,HCl,Pi,field_fresh,64.76857786,
336,6,100,HCl,Pi,field_fresh,29.46278313,
337,1,10,HCl,Po,dried,198.30000000,
338,1,30,HCl,Po,dried,113.90000000,
339,1,50,HCl,Po,dried,124.60000000,
340,1,100,HCl,Po,dried,90.20000000,
341,2,10,HCl,Po,dried,50.50000000,
342,2,30,HCl,Po,dried,185.30000000,
343,2,50,HCl,Po,dried,184.10000000,
344,2,100,HCl,Po,dried,22.60000000,
345,3,10,HCl,Po,dried,212.30000000,
346,3,30,HCl,Po,dried,165.20000000,
347,3,50,HCl,Po,dried,103.00000000,
348,3,100,HCl,Po,dried,85.70000000,
349,4,10,HCl,Po,dried,184.30000000,
350,4,30,HCl,Po,dried,122.70000000,
351,4,50,HCl,Po,dried,92.20000000,
352,4,100,HCl,Po,dried,103.00000000,
353,5,10,HCl,Po,dried,156.60000000,
354,5,30,HCl,Po,dried,118.80000000,
355,5,50,HCl,Po,dried,118.50000000,
356,5,100,HCl,Po,dried,86.50000000,
357,6,10,HCl,Po,dried,135.80000000,
358,6,30,HCl,Po,dried,102.20000000,
359,6,50,HCl,Po,dried,90.00000000,
360,6,100,HCl,Po,dried,43.70000000,
361,1,10,HCl,Po,field_fresh,162.40000000,
362,1,30,HCl,Po,field_fresh,103.90000000,
363,1,50,HCl,Po,field_fresh,107.30000000,
364,1,100,HCl,Po,field_fresh,68.00000000,
365,2,10,HCl,Po,field_fresh,64.60000000,
366,2,30,HCl,Po,field_fresh,173.00000000,
367,2,50,HCl,Po,field_fresh,136.00000000,
368,2,100,HCl,Po,field_fresh,60.40000000,
369,3,10,HCl,Po,field_fresh,166.60000000,
370,3,30,HCl,Po,field_fresh,138.70000000,
371,3,50,HCl,Po,field_fresh,116.40000000,
372,3,100,HCl,Po,field_fresh,95.10000000,
373,4,10,HCl,Po,field_fresh,168.70000000,
374,4,30,HCl,Po,field_fresh,104.80000000,
375,4,50,HCl,Po,field_fresh,99.10000000,
376,4,100,HCl,Po,field_fresh,72.90000000,
377,5,10,HCl,Po,field_fresh,140.00000000,
378,5,30,HCl,Po,field_fresh,107.70000000,
379,5,50,HCl,Po,field_fresh,87.90000000,
380,5,100,HCl,Po,field_fresh,81.80000000,
381,6,10,HCl,Po,field_fresh,118.90000000,
382,6,30,HCl,Po,field_fresh,89.20000000,
383,6,50,HCl,Po,field_fresh,79.80000000,
384,6,100,HCl,Po,field_fresh,39.90000000,
